FamId	ExternalId	IntSampleId
SHR805	SHR805-02	JS 7945
SHR805	SHR805-03	JS 7946
SHR806	SHR806-01	JS 7947
SHR806	SHR806-02	JS 7948
SHR806	SHR806-03	JS 7949
SHR807	SHR807-01	JS 7950
SHR807	SHR807-02	JS 7951
SHR807	SHR807-03	JS 7952
SHR807	SHR807-04	JS 7953
SHR808	SHR808-01	JS 7954
SHR808	SHR808-02	JS 7955
SHR808	SHR808-03	JS 7956
SHR809	SHR809-01	JS 7957
SHR809	SHR809-02	JS 7958
SHR809	SHR809-03	JS 7959
SHR809	SHR809-04	JS 7960
SHR810	SHR810-01	JS 7961
SHR810	SHR810-02	JS 7962
SHR810	SHR810-03	JS 7963
SHR812	SHR812-01	JS 7964
SHR812	SHR812-02	JS 7965
SHR812	SHR812-03	JS 7966
